,0
Education,0.031222947103246374
Jobs,0.13031977655443105
Income,0.15187027597486694
Safety,0.028348952592134595
Health,0.10125769491356167
Environment,0.09334786438120676
Civic engagement,0.11421328766343555
Accessiblity to services,0.08372121801387244
Housing,0.14333912442395016
Community,0.12235885837929454
