Region,0
Burgenland,6.657852470800787
Lower Austria,6.918471324351725
Vienna,5.730542963018343
Carinthia,6.637422092737955
Styria,6.420960908043729
Upper Austria,7.005721103658914
Salzburg,6.8511973362765834
Tyrol,6.813439958159272
Vorarlberg,6.603388224786805
Brussels Capital Region,5.293109582947941
Flemish Region,7.335917747205913
Walloon Region,6.5849617874997985
Prague,6.069426602540971
Central Bohemian Region,5.541599562586295
Southwest,5.705124228659003
Northwest,4.70108363588291
Northeast,5.565012165623115
Southeast,5.63749883291952
Central Moravia,5.241456922560571
Moravia-Silesia,4.618345648234477
Capital City Region,7.291304378956374
Zealand,7.234098943444055
Southern Denmark,7.383841429159805
Central Jutland,7.518525220460916
Northern Jutland,7.432032436777416
North Estonia,6.0866072759353145
West Estonia,5.7005491776758745
Southern Estonia,5.906428263466695
Central Estonia,4.740919764128127
Northeast Estonia,3.470332404616478
Western Finland,6.916117133097214
Helsinki-Uusimaa,7.107204029418445
Southern Finland,7.060858679970301
Eastern and Northern Finland,6.844332243756854
Åland,6.636292067649347
Île-de-France,6.732670465987672
Centre - Val de Loire,6.850464485071776
Bourgogne-Franche-Comté,6.998016194447012
Normandy,6.909042169241665
Hauts-de-France,6.534514039562929
Grand Est,6.764147526261641
Pays de la Loire,7.231822752883902
Brittany,7.3551487401529965
Nouvelle-Aquitaine,7.058338699142471
Occitanie,6.850289654340395
Auvergne-Rhône-Alpes,7.106663508760147
Provence-Alpes-Côte d’Azur,6.662435006225476
Corsica,6.314011742674802
Guadeloupe,4.504385880046799
Martinique,4.856268975401894
French Guiana,3.3599432229104753
La Réunion,5.193606986006622
Mayotte,3.1995647124193596
Baden-Württemberg,6.784381903309462
Bavaria,6.837072246656201
Berlin,6.581257144093676
Brandenburg,6.715350576164077
Bremen,6.226849239226007
Hamburg,6.517419463960759
Hesse,6.767939212509515
Mecklenburg-Vorpommern,6.806201999889696
Lower Saxony,6.671053848723749
North Rhine-Westphalia,6.482943714249152
Rhineland-Palatinate,6.85453368390205
Saarland,6.954160493179873
Saxony,6.787066508612381
Saxony-Anhalt,6.214392443134877
Schleswig-Holstein,6.65659259061709
Thuringia,7.048768566388546
Attica,4.060614152925882
North Aegean,3.989858721611596
South Aegean,4.245731593760332
Crete,4.134670770158543
"Eastern Macedonia, Thrace",2.890951022069407
Central Macedonia,3.7538805222848937
Western Macedonia,3.1795507689292224
Epirus,4.203384073522531
Thessaly,3.2575683942516473
Ionian Islands,3.967895317721877
Western Greece,3.7185230335819757
Central Greece,3.430442197102768
Peloponnese,4.121400075697782
Budapest,6.241648362905508
Pest,5.567523741275495
Central Transdanubia,5.901891756360475
Western Transdanubia,5.868072573894979
Southern Transdanubia,5.269674893840108
Northern Hungary,4.7951796727668325
Northern Great Plain,4.695999912813912
Southern Great Plain,5.464781737918418
Greater Reykjavík,7.1658326277930176
Other regions,7.107866724232775
Northern and Western,6.865847405552567
Southern,6.824442311043136
Eastern and Midland,6.7053890074058415
Piedmont,5.426293382858375
Aosta Valley,5.468923957923406
Liguria,6.013257209263025
Lombardy,5.57387433692982
Abruzzo,5.172521233048777
Molise,5.456887922560419
Campania,3.998360989420649
Apulia,4.673753954500142
Basilicata,4.884450496593354
Calabria,4.221314580650002
Sicily,4.292396690164822
Sardinia,5.270879016664819
Province of Bolzano-Bozen,6.161055890508103
Province of Trento,6.159279048444232
Veneto,5.688051494975898
Friuli-Venezia Giulia,6.287124628058811
Emilia-Romagna,6.258746302890406
Tuscany,5.7736959131292425
Umbria,6.056832777156914
Marche,5.874761048894673
Lazio,5.408094374953491
Kurzeme,4.114478092924178
Latgale,3.631988131262393
Riga,4.264872092055022
Pieriga,4.872818575839988
Vidzeme,4.466482976426263
Zemgale,4.370978540936938
Vilnius county,4.7701360763556995
Alytus county,4.32362723566285
Kaunas county,4.790684827632411
Klaipeda county,4.6852540260600755
Marijampole county,4.069371730526778
Panevežys county,4.325085936983129
Šiauliai county,4.419789629993184
Taurage county,4.342131629864965
Telšiai county,4.163395717289905
Utena county,4.055907596569508
Luxembourg,7.63543884110456
Groningen,7.176700687313404
Friesland,7.16702008006635
Drenthe,7.723893734386246
Overijssel,7.2331833391200675
Gelderland,7.505284600466682
Flevoland,7.261896617197011
Utrecht,7.5754889389072275
North Holland,7.406184647588059
South Holland,7.138302847991441
Zeeland,7.2396861688010405
North Brabant,7.580293454738293
Limburg,7.3360085147656005
Innlandet,7.545290215332614
Trøndelag,8.06859541137123
Northern Norway,7.655325914710219
Oslo and Viken,7.740611562242581
Agder and Sør-Østlandet,7.803018640275183
Western Norway,8.212611622070034
Lesser Poland,4.571250062272251
Silesia,4.241101825276997
Greater Poland,4.697871796421381
West Pomerania,4.920210664772221
Lubusz,4.30039163054083
Lower Silesia,5.016600679404351
Opole region,4.016567575557208
Kuyavian-Pomerania,4.38996858736997
Warmian-Masuria,3.6130907374603827
Pomerania,5.16773603597395
Lodzkie,3.959659878948289
Swietokrzyskie,4.215725180111434
Lublin Province,4.38140120942493
Podkarpacia,4.218004742611348
Podlaskie,4.869528670864555
Warsaw capital region,5.913627253371017
Mazowiecki region,4.473223535208959
North,5.474519389465619
Algarve,4.905708206040913
Central Portugal,5.58633547563599
Metropolitan area of Lisbon,5.709576911350194
Alentejo,5.305743210563928
Azores (autonomous region),5.089411189357635
Madeira (autonomous region),4.902633206109321
Eastern Slovenia,5.338872295093156
Western Slovenia,5.898706742499502
Galicia,6.6087065309936746
Asturias,6.351683342369117
Cantabria,6.1461198684634475
Basque Country,6.970511841499146
Navarra,7.073413493099149
